rndrng_prvdr_geo_lvl,rndrng_prvdr_geo_cd,rndrng_prvdr_geo_desc,drg_cd,drg_desc,tot_dschrgs,avg_submtd_cvrd_chrg,avg_tot_pymt_amt,avg_mdcr_pymt_amt,year
State,06,California,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,215,1889062.3674,353919.49302,325525.16744,2019
State,06,California,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",1186,1211316.8685,228971.63912,206765.92917,2019
State,06,California,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",1158,704807.7487,125900.42832,117046.76339,2019
State,06,California,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,151,1173039.947,186099.75497,166061.3245,2019
State,06,California,006,LIVER TRANSPLANT WITHOUT MCC,30,624223.33333,65401.366667,59667.233333,2019
State,06,California,007,LUNG TRANSPLANT,51,1106245.1765,185836.68627,160322.2549,2019
State,06,California,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,33,734745.63636,73583.787879,61422.393939,2019
State,06,California,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",158,360052.1519,68348.936709,59416.291139,2019
State,06,California,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",112,295747.50893,52673.767857,45307.625,2019
State,06,California,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",19,218788.36842,42145.631579,25415.947368,2019
State,06,California,014,ALLOGENEIC BONE MARROW TRANSPLANT,91,892417.47253,187408.71429,161575.94505,2019
State,06,California,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,234,558861.67949,131403.74359,117893.73932,2019
State,06,California,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,218,644771.95872,120484.38991,111028.89908,2019
State,06,California,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,30,489923.83333,118422.26667,73817.366667,2019
State,06,California,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,15,245228.6,60663.266667,45618,2019
State,06,California,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,1243,371379.01448,60045.100563,53268.808528,2019
State,06,California,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,354,221864.57627,39745.963277,35001.127119,2019
State,06,California,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,2169,293277.47948,48659.373444,43654.536653,2019
State,06,California,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,863,197797.60255,32844.063731,28457.177289,2019
State,06,California,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,872,162674.0883,27272.844037,22685.027523,2019
State,06,California,028,SPINAL PROCEDURES WITH MCC,186,353822.45161,61645.801075,56124.252688,2019
State,06,California,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,312,195429.32692,34544.00641,28066.224359,2019
State,06,California,030,SPINAL PROCEDURES WITHOUT CC/MCC,119,136154.73109,23895.521008,18901.302521,2019
State,06,California,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,111,235489.86486,42670.171171,37220.117117,2019
State,06,California,032,VENTRICULAR SHUNT PROCEDURES WITH CC,191,123587.75393,22672.942408,19150.439791,2019
State,06,California,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,223,89820.394619,17084.35426,14626.991031,2019
State,06,California,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,94,267524.42553,39593.712766,37696.202128,2019
State,06,California,035,CAROTID ARTERY STENT PROCEDURES WITH CC,221,138205.77828,21715.325792,19791.800905,2019
State,06,California,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,263,97488.859316,16266.718631,14568.441065,2019
State,06,California,037,EXTRACRANIAL PROCEDURES WITH MCC,235,227456.48936,35314.987234,31006.502128,2019
State,06,California,038,EXTRACRANIAL PROCEDURES WITH CC,698,126821.33668,16780.587393,14305.680516,2019
State,06,California,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,1257,82860.041368,11187.44471,8959.4876691,2019
State,06,California,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",352,247528.31534,42082.875,37084.664773,2019
State,06,California,041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",409,144633.91932,22738.665037,20440.149144,2019
State,06,California,042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",150,120821,19984.913333,16251.773333,2019
State,06,California,052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,102,119741.5098,22550.294118,16912.343137,2019
State,06,California,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,23,67581.695652,9798.0434783,8530.3913043,2019
State,06,California,054,NERVOUS SYSTEM NEOPLASMS WITH MCC,1027,89397.480039,14510.805258,11821.865628,2019
State,06,California,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,292,67681.64726,10798.924658,8609.2773973,2019
State,06,California,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,939,111629.87114,21322.880724,18297.342918,2019
State,06,California,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,2036,71272.203831,12975.077603,10919.876228,2019
State,06,California,058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,82,91425.317073,17660.268293,15520.597561,2019
State,06,California,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,167,67369.946108,11728.994012,9148.6167665,2019
State,06,California,060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,158,57478.28481,9348.5696203,6895.9050633,2019
State,06,California,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",645,186850.26977,28807.765891,25583.356589,2019
State,06,California,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",948,128878.70675,18732.023207,15649.621308,2019
State,06,California,063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",234,114323.94017,16128.461538,13423.58547,2019
State,06,California,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,6903,125421.20904,19568.551789,16843.581197,2019
State,06,California,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,7913,75005.18438,10453.063314,8412.6266903,2019
State,06,California,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,2281,57466.467777,7564.6308637,5651.7496712,2019
State,06,California,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,95,100644.43158,16393.757895,13447.115789,2019
State,06,California,068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,346,71613.83526,9290.6820809,7237.8468208,2019
State,06,California,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,2896,57624.010359,7601.2479282,6123.4485497,2019
State,06,California,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,1915,85503.877285,15513.751436,13943.563969,2019
State,06,California,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,1678,59596.88677,9893.8897497,8373.2079857,2019
State,06,California,072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,328,48908.371951,7322.9542683,5873.7743902,2019
State,06,California,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,915,78266.328962,14442.572678,12806.832787,2019
State,06,California,074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,1477,62325.301286,10852.729858,8561.4685173,2019
State,06,California,075,VIRAL MENINGITIS WITH CC/MCC,57,89102.684211,15411.666667,13050.666667,2019
State,06,California,076,VIRAL MENINGITIS WITHOUT CC/MCC,17,56826.705882,8555,5897.3529412,2019
State,06,California,077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,190,88694.847368,14841.757895,13569.015789,2019
State,06,California,078,HYPERTENSIVE ENCEPHALOPATHY WITH CC,193,63705.331606,9367.1243523,7886.3678756,2019
State,06,California,079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,35,60026.371429,7097.5428571,5862.8285714,2019
State,06,California,080,NONTRAUMATIC STUPOR AND COMA WITH MCC,80,155089.675,28760.1,18767.175,2019
State,06,California,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,33,55101.151515,9362.9393939,7354.6060606,2019
State,06,California,082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,710,168303.4662,26702.946479,23379.778873,2019
State,06,California,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,893,108809.10638,15340.995521,12792.029115,2019
State,06,California,084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,423,71581.229314,10690.394799,8512.5910165,2019
State,06,California,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,813,151659.55597,23839.682657,21090.817958,2019
State,06,California,086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,1464,93066.20082,13205.969945,11122.223361,2019
State,06,California,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,736,67723.464674,9531.1358696,7471.7798913,2019
State,06,California,088,CONCUSSION WITH MCC,75,99353.173333,15191.24,12735.24,2019
